method,n,bleu1,bleu2,bleu3,bleu4,meteor,rougeL,cider
original,60,0.6289238610035195,0.4658779716781076,0.3148032879323353,0.24112643392055916,0.4205462728413323,0.5824251912181981,0.6358674011791083
fast_x2,60,0.6192032943944036,0.45352347279022287,0.3069985721602764,0.22261016649539542,0.41692131996047405,0.562681904396665,0.6477901865351205
sharp_anime_x4,60,0.616103889668702,0.46247942991594687,0.3129418561943408,0.2268929601207462,0.4213814536585998,0.5673136728373475,0.6221776816150862
general_x4plus,60,0.627757329252317,0.4685629099237871,0.31779624226782466,0.23322173044009425,0.4377302391770938,0.5706393750489266,0.6508285535863984
auto_vehicle_x4,60,0.627757329252317,0.4685629099237871,0.31779624226782466,0.23322173044009425,0.4377302391770938,0.5706393750489266,0.6508285535863984
