mode,resolution,tile_size,image_idx,run_idx,elapsed_seconds,status
fast_x2,512,128,0,0,1.9099304676055908,ok
fast_x2,512,128,0,1,1.8871104717254639,ok
fast_x2,512,128,0,2,1.853849172592163,ok
fast_x2,512,128,1,0,1.8503062725067139,ok
fast_x2,512,128,1,1,1.9162168502807617,ok
fast_x2,512,128,1,2,1.8230342864990234,ok
fast_x2,512,256,0,0,1.644705057144165,ok
fast_x2,512,256,0,1,1.7077062129974365,ok
fast_x2,512,256,0,2,1.7647264003753662,ok
fast_x2,512,256,1,0,1.7309973239898682,ok
fast_x2,512,256,1,1,1.661027193069458,ok
fast_x2,512,256,1,2,1.7368474006652832,ok
fast_x2,512,512,0,0,1.5840716361999512,ok
fast_x2,512,512,0,1,1.5941641330718994,ok
fast_x2,512,512,0,2,1.6284916400909424,ok
fast_x2,512,512,1,0,1.5863401889801025,ok
fast_x2,512,512,1,1,1.6234214305877686,ok
fast_x2,512,512,1,2,1.653139352798462,ok
fast_x2,1024,128,0,0,4.933103799819946,ok
fast_x2,1024,128,0,1,4.866889953613281,ok
fast_x2,1024,128,0,2,4.9899139404296875,ok
fast_x2,1024,128,1,0,4.981933355331421,ok
fast_x2,1024,128,1,1,4.890185832977295,ok
fast_x2,1024,128,1,2,5.005702257156372,ok
fast_x2,1024,256,0,0,4.003031969070435,ok
fast_x2,1024,256,0,1,4.002990961074829,ok
fast_x2,1024,256,0,2,4.036685466766357,ok
fast_x2,1024,256,1,0,4.036003112792969,ok
fast_x2,1024,256,1,1,4.015901803970337,ok
fast_x2,1024,256,1,2,4.027194261550903,ok
fast_x2,1024,512,0,0,3.7614784240722656,ok
fast_x2,1024,512,0,1,3.7431159019470215,ok
fast_x2,1024,512,0,2,3.7155404090881348,ok
fast_x2,1024,512,1,0,3.7552380561828613,ok
fast_x2,1024,512,1,1,3.710494041442871,ok
fast_x2,1024,512,1,2,3.7676031589508057,ok
fast_x2,1920,128,0,0,14.758915901184082,ok
fast_x2,1920,128,0,1,14.736883163452148,ok
fast_x2,1920,128,0,2,14.911576986312866,ok
fast_x2,1920,128,1,0,14.84688401222229,ok
fast_x2,1920,128,1,1,14.908435344696045,ok
fast_x2,1920,128,1,2,14.888611555099487,ok
fast_x2,1920,256,0,0,12.103503942489624,ok
fast_x2,1920,256,0,1,11.992395401000977,ok
fast_x2,1920,256,0,2,12.017524480819702,ok
fast_x2,1920,256,1,0,12.12886357307434,ok
fast_x2,1920,256,1,1,12.11061406135559,ok
fast_x2,1920,256,1,2,12.086055517196655,ok
fast_x2,1920,512,0,0,11.011758089065552,ok
fast_x2,1920,512,0,1,11.012393712997437,ok
fast_x2,1920,512,0,2,10.961584568023682,ok
fast_x2,1920,512,1,0,10.99094271659851,ok
fast_x2,1920,512,1,1,11.00025486946106,ok
fast_x2,1920,512,1,2,10.988455533981323,ok
