language,backend,n,bleu,chrf,bertscore_f1
es,marian,80,27.701363466801155,56.428421738038125,0.9425696134567261
fr,marian,80,40.847904099410854,64.70168689264734,0.9506334066390991
hi,indic_nllb,80,27.424551490207946,53.42439793511292,0.9328023195266724
kn,indic_nllb,80,16.587914546648022,53.304234324496555,0.9290911555290222
ta,indic_nllb,80,16.27966828630168,54.942489955518816,0.9218387603759766
te,indic_nllb,80,21.216008423075312,53.98820236436619,0.9274970889091492
