language,n,bleu,bleu_ci95_lo,bleu_ci95_hi,chrf,chrf_ci95_lo,chrf_ci95_hi
es,80,27.701363466801155,24.68550207167469,30.79084705080241,56.428421738038125,53.92751367576688,58.97829807369596
fr,80,40.847904099410854,36.36379546275868,45.3838972070229,64.70168689264734,61.50014717422439,67.97532378368899
hi,80,27.424551490207946,20.828557834556488,32.361865537074905,53.42439793511292,48.724896694342384,57.79021141861739
kn,80,16.587914546648022,13.143895654911463,20.00757112072541,53.304234324496555,49.680927254779995,56.769175283630524
ta,80,16.27966828630168,12.717859540252823,20.28967876099234,54.942489955518816,51.46508885632627,58.3433126708566
te,80,21.216008423075312,17.179960810597468,25.5153948802923,53.98820236436619,50.99615172199561,57.18209442363473
