method,scale,n,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,elapsed_mean
auto_vehicle_x4,4,100,24.194454635815642,3.3520335553836667,0.671838763285167,0.1423032496138341,0.24746661260724065,0.08832004878810008,0.5137262129783631
bicubic_2x,2,100,30.567770463225052,4.204536642952714,0.9043049116945618,0.05632997205893844,0.14203724669292567,0.06777305272373998,0.0027719879150390108
bicubic_4x,4,100,25.304260485850133,3.5818401215424007,0.712084321377603,0.13441347958057082,0.40914889514446257,0.12387922968176075,0.002234165668487497
fast_x2,2,100,27.330594250632434,3.5392137652021054,0.8057177727504756,0.09309649431117101,0.14668079171329734,0.06961842092908287,0.5149210619926453
general_x4plus,4,100,24.194454635815642,3.3520335553836667,0.671838763285167,0.1423032496138341,0.24746661260724065,0.08832004878810008,0.5134425759315491
sharp_anime_x4,4,100,23.184853284962102,3.035909276280667,0.630040557444289,0.1490102672277269,0.33043939277529716,0.1087623331307167,0.14963410615921016
